instance,result,seconds,exit
AllHeating_d6376bf9.ltl,REALIZABLE,0.025,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.025,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.026,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.011,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.011,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.013,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.011,0
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.01,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.012,0
EscalatorCountingInit.ltl,REALIZABLE,0.011,0
EscalatorNonReactive.ltl,REALIZABLE,0.011,0
KitchenTimerV8.ltl,REALIZABLE,0.067,0
Light_aeb1d897.ltl,UNREALIZABLE,0.027,1
Lights2_f1477cc5.ltl,UNREALIZABLE,0.04,1
Lights3Min_6479ef9a.ltl,REALIZABLE,0.027,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.501,1
ModdifiedLedMatrix5X.ltl,REALIZABLE,0.294,0
Morning2_4d4ca5c4.ltl,REALIZABLE,0.029,0
OneCounterInRangeA0.ltl,UNREALIZABLE,0.029,1
SPI.ltl,REALIZABLE,0.328,0
SPIReadManag.ltl,REALIZABLE,0.288,0
SPIWriteManag.ltl,REALIZABLE,0.078,0
SPIWriteSdi.ltl,REALIZABLE,0.02,0
SensorRegister.ltl,REALIZABLE,0.01,0
TwoCountersDisButA0.ltl,UNREALIZABLE,0.021,1
TwoCountersDisButAC.ltl,UNREALIZABLE,0.628,1
TwoCountersInRangeA4.ltl,UNREALIZABLE,0.052,1
TwoCountersRefined.ltl,UNREALIZABLE,0.025,1
abcg_arbiter2.ltl,REALIZABLE,0.107,0
button.ltl,REALIZABLE,0.017,0
jarvis_gideon_a02758ea.ltl,UNREALIZABLE,0.01,1
jarvis_philippe_484face8.ltl,UNREALIZABLE,0.013,1
lift_gr12.ltl,REALIZABLE,0.018,0
lilydemo01.ltl,UNREALIZABLE,0.011,1
ltl2dba_Q50.ltl,REALIZABLE,0.011,0
ltl2dba_R3.ltl,UNREALIZABLE,0.013,1
ltl2dba_U15.ltl,REALIZABLE,0.01,0
prioritized_arbiter2.ltl,REALIZABLE,0.011,0
prioritized_arbiter_unreal13_14.ltl,UNREALIZABLE,0.011,1
round_robin_arbiter2.ltl,REALIZABLE,0.012,0
03.ltl,REALIZABLE,3.203,0
05.ltl,REALIZABLE,14.921,0
09.ltl,REALIZABLE,9.39,0
10.ltl,REALIZABLE,3.451,0
11.ltl,REALIZABLE,3.685,0
12.ltl,REALIZABLE,5.658,0
13.ltl,REALIZABLE,6.13,0
Alarm_06e9cad4.ltl,REALIZABLE,2.272,0
Alarm_68c86764.ltl,REALIZABLE,2.288,0
Alarm_70523fbe.ltl,REALIZABLE,1.254,0
Alarm_f2774e0b.ltl,REALIZABLE,1.194,0
Morning2_1cf58fc1.ltl,UNREALIZABLE,6.435,1
Morning_14a3b3a2.ltl,UNREALIZABLE,12.498,1
Morning_4b5e6eaa.ltl,UNREALIZABLE,12.746,1
Morning_c92eb242.ltl,UNREALIZABLE,11.543,1
Morning_f1477cc5.ltl,UNREALIZABLE,12.528,1
Morning_f2774e0b.ltl,UNREALIZABLE,11.901,1
OneCounter.ltl,REALIZABLE,3.171,0
OneCounterGuiA8.ltl,UNREALIZABLE,3.558,1
OneCounterGuiA9.ltl,REALIZABLE,3.017,0
TwoCounters3.ltl,REALIZABLE,1.664,0
amba_case_study2.ltl,REALIZABLE,1.955,0
amba_decomposed_arbiter6.ltl,REALIZABLE,2.021,0
amba_decomposed_lock11.ltl,REALIZABLE,2.149,0
amba_decomposed_lock12.ltl,REALIZABLE,8.822,0
arbiter5.ltl,REALIZABLE,1.057,0
arbiter_on_inpchange4.ltl,REALIZABLE,2.275,0
arbiter_with_cancel5.ltl,REALIZABLE,2.91,0
collector_v19.ltl,REALIZABLE,1.119,0
collector_v213.ltl,REALIZABLE,2.74,0
collector_v215.ltl,TIMEOUT,17.082,124
collector_v39.ltl,REALIZABLE,6.155,0
detector_unreal13.ltl,UNREALIZABLE,1.314,1
detector_unreal14.ltl,UNREALIZABLE,3.362,1
detector_unreal15.ltl,UNREALIZABLE,8.176,1
full_arbiter_unreal12_15.ltl,UNREALIZABLE,2.348,1
full_arbiter_unreal12_16.ltl,UNREALIZABLE,5.074,1
