solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
p4va-control-r1	SPIPureNext.ltl				true	TIMEOUT	17
p4va-control-r1	heim-double-x-real.ltl				true	TIMEOUT	17
p4va-control-r1	ordered-visits-choice-real.ltl				true	UNKNOWN	17
p4va-control-r1	robot_grid_pb_5_5_pe_.ltl				true	TIMEOUT	17
p4va-control-r1	thermostat-F-real.ltl				true	TIMEOUT	17
p4va-control-r1	workstation_resupply_pb_3_pe_.ltl	17	REALIZABLE	16.55285309100873	false	REALIZABLE	17
p4va-control-r1	sort50.ltl	17	UNREALIZABLE	15.008613934987807	false	UNREALIZABLE	17
p4va-control-r1	amba_decomposed_arbiter_pb_5_pe_.ltl	17	REALIZABLE	0.11240453299251385	false	REALIZABLE	17
p4va-control-r1	collector_v2_pb_12_pe_.ltl	17	REALIZABLE	0.7816463449998992	false	REALIZABLE	17
p4va-control-r1	Alarm_a5f99bc6.ltl				true	TIMEOUT	17
