solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
S-cap120-epoch1	abcg_arbiter_pb_4_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	abcg_arbiter_pb_5_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	abcg_arbiter_pb_6_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	amba_decomposed_lock_pb_15_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	amba_decomposed_lock_pb_16_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	amba_decomposed_lock_pb_30_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_on_inpchange_pb_5_pe_.ltl				true	MEMOUT	120
S-cap120-epoch1	arbiter_on_inpchange_pb_6_pe_.ltl				true	MEMOUT	120
S-cap120-epoch1	arbiter_on_inpchange_pb_7_pe_.ltl				true	MEMOUT	120
S-cap120-epoch1	arbiter_pb_10_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_pb_6_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_pb_7_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_pb_8_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_pb_9_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_buffer_pb_10_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_buffer_pb_6_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_buffer_pb_7_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_buffer_pb_8_pe_.ltl				true	MEMOUT	120
S-cap120-epoch1	arbiter_with_buffer_pb_9_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_cancel_pb_10_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_cancel_pb_6_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_cancel_pb_7_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_cancel_pb_8_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	arbiter_with_cancel_pb_9_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	collector_v1_pb_11_pe_.ltl				true	MEMOUT	120
S-cap120-epoch1	collector_v1_pb_12_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	collector_v1_pb_13_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	collector_v1_pb_14_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	collector_v1_pb_15_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	load_balancer_pb_10_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	load_balancer_pb_11_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	load_balancer_pb_8_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	load_balancer_pb_9_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	prioritized_arbiter_pb_10_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	prioritized_arbiter_pb_12_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	prioritized_arbiter_pb_7_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	prioritized_arbiter_pb_8_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	prioritized_arbiter_pb_9_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	simple_arbiter_with_hints_pb_10_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	simple_arbiter_with_hints_pb_12_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	simple_arbiter_with_hints_pb_15_pe_.ltl				true	TIMEOUT	120
S-cap120-epoch1	simple_arbiter_with_hints_pb_8_pe_.ltl				true	TIMEOUT	120
